ProductID,ProductName,Category,SubCategory,UnitPrice,SatisfactionScore,SupplierName
TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,Phones,742.336,3,Global Supply Co
TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,120.888,1,Prime Goods
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,124.608,3,Prime Goods
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,262.944,2,Global Supply Co
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,49.6584,1,NorthStar
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,19.86075,2,Global Supply Co
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,158.97,4,Global Supply Co
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,44.625,5,Prime Goods
TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,32.7,2,Prime Goods
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,21.49875,1,Prime Goods
OFF-LA-10002762,Avery 485,Office Supplies,Labels,79.87875,3,Prime Goods
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,11.5192,5,Prime Goods
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,181.104875,4,NorthStar
OFF-FA-10000304,Advantus Push Pins,Office Supplies,Fasteners,7.848,1,Prime Goods
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,Phones,484.0765,1,NorthStar
OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,Storage,140.0331429,1,NorthStar
OFF-PA-10001569,Xerox 232,Office Supplies,Paper,30.132,5,Prime Goods
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,223.587,2,Prime Goods
OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,26.572,5,NorthStar
OFF-BI-10001460,Plastic Binding Combs,Office Supplies,Binders,53.934,3,NorthStar
OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,Art,4.872,1,Prime Goods
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,30.756,5,Global Supply Co
OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,25.05542857,4,Prime Goods
OFF-PA-10003892,Xerox 1943,Office Supplies,Paper,185.858,3,Global Supply Co
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,67.796,3,Prime Goods
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,162.8016,5,Global Supply Co
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,1113.024,3,NorthStar
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,Phones,158.9697143,3,Global Supply Co
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,169.4653333,5,Prime Goods
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,19.50663636,3,NorthStar
OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,16.51,5,Prime Goods
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,530.0703333,5,Prime Goods
FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,220.3616667,4,NorthStar
OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage,313.881,2,NorthStar
OFF-BI-10004182,Economy Binders,Office Supplies,Binders,7.488,4,Prime Goods
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,31.1465,1,Prime Goods
OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,43.41375,2,Global Supply Co
FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,27.02,5,Prime Goods
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,451.0133333,2,Prime Goods
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,18.414,3,Global Supply Co
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,11.66457143,2,Global Supply Co
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,80.569,4,NorthStar
OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,138.1765,3,Prime Goods
OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,272.6116,4,Prime Goods
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,364.23925,3,Global Supply Co
TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,34.64933333,5,Global Supply Co
OFF-LA-10000134,Avery 511,Office Supplies,Labels,9.445333333,4,Prime Goods
OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,Storage,99.92266667,4,Global Supply Co
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art,12.50666667,3,NorthStar
OFF-PA-10000304,Xerox 1995,Office Supplies,Paper,20.304,3,Global Supply Co
OFF-PA-10003177,Xerox 1999,Office Supplies,Paper,14.07085714,5,Prime Goods
FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings,63.2968,3,Prime Goods
OFF-BI-10002852,Ibico Standard Transparent Covers,Office Supplies,Binders,39.0576,3,Prime Goods
OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,23.675,3,Global Supply Co
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,56.88375,4,NorthStar
OFF-BI-10001721,Trimflex Flexible Post Binders,Office Supplies,Binders,86.589,5,Global Supply Co
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,48.45866667,4,Prime Goods
OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,34.62,3,Global Supply Co
TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,154.628,2,Prime Goods
OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,4.512571429,5,NorthStar
OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper,25.8336,3,NorthStar
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,230.9328,5,NorthStar
FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,112.3116667,1,NorthStar
OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders,77.862,1,Prime Goods
TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories,38.9088,3,Prime Goods
TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,Phones,47.2365,2,Global Supply Co
OFF-AR-10000390,Newell Chalk Holder,Office Supplies,Art,11.918,4,Global Supply Co
TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Technology,Accessories,295.34025,2,NorthStar
FUR-FU-10001934,Magnifier Swing Arm Lamp,Furniture,Furnishings,50.352,3,Global Supply Co
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,161.7948,3,Global Supply Co
OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders,16.60342857,4,NorthStar
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners,19.94571429,2,Prime Goods
OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes,13.31714286,5,NorthStar
OFF-PA-10004965,Xerox 1921,Office Supplies,Paper,18.648,3,NorthStar
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,81.54,2,NorthStar
FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables,660.6501667,3,Prime Goods
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,848.14275,2,NorthStar
FUR-FU-10002157,Artistic Insta-Plaque,Furniture,Furnishings,52.26666667,2,Global Supply Co
OFF-ST-10000777,"Companion Letter/Legal File, Black",Office Supplies,Storage,122.3424,5,Global Supply Co
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,53.676,2,NorthStar
TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones,42.12,5,Prime Goods
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,1083.14925,5,Prime Goods
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,Tables,650.644,4,Global Supply Co
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,9.95,1,Prime Goods
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,170.5454286,5,NorthStar
FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,260.8256,3,Global Supply Co
TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,56.63833333,3,Global Supply Co
OFF-PA-10002377,Xerox 1916,Office Supplies,Paper,71.76085714,1,NorthStar
OFF-FA-10002780,Staples,Office Supplies,Fasteners,18.5952,4,Prime Goods
OFF-PA-10001804,Xerox 195,Office Supplies,Paper,20.541,1,Prime Goods
OFF-PA-10001736,Xerox 1880,Office Supplies,Paper,124.7488,5,Prime Goods
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art,11.56457143,2,Prime Goods
OFF-FA-10002988,Ideal Clamps,Office Supplies,Fasteners,7.3365,2,Global Supply Co
OFF-BI-10004781,GBC Wire Binding Strips,Office Supplies,Binders,42.5316,3,Prime Goods
OFF-SU-10001218,Fiskars Softgrip Scissors,Office Supplies,Supplies,43.92,3,Prime Goods
OFF-AR-10000940,Newell 343,Office Supplies,Art,9.324,3,NorthStar
OFF-EN-10004030,Convenience Packs of Business Envelopes,Office Supplies,Envelopes,9.774,1,Prime Goods
OFF-PA-10004327,Xerox 1911,Office Supplies,Paper,120.708,3,Prime Goods
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,1119.24,2,Global Supply Co
FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings,89.487,3,NorthStar
TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Phones,151.45,5,NorthStar
TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,Technology,Phones,119.976,4,Global Supply Co
OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,107.3903,1,NorthStar
OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,Appliances,157.92,2,NorthStar
TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,Phones,431.766,4,Prime Goods
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,40.032,3,NorthStar
OFF-PA-10002254,Xerox 1883,Office Supplies,Paper,125.8702857,5,Prime Goods
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage,51.7632,3,Prime Goods
OFF-AR-10001547,Newell 311,Office Supplies,Art,7.67975,2,NorthStar
OFF-LA-10002475,Avery 519,Office Supplies,Labels,20.22433333,5,NorthStar
TEC-PH-10004536,Avaya 5420 Digital phone,Technology,Phones,512.962,2,NorthStar
OFF-PA-10002751,Xerox 1920,Office Supplies,Paper,22.425,5,Prime Goods
TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,Technology,Accessories,73.4184,3,NorthStar
OFF-EN-10001990,Staples,Office Supplies,Envelopes,21.77333333,3,NorthStar
OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,24.96142857,5,Global Supply Co
OFF-AR-10004441,BIC Brite Liner Highlighters,Office Supplies,Art,12.30171429,4,NorthStar
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,4207.47525,5,Prime Goods
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,379.401,3,Prime Goods
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,890.2138462,5,NorthStar
OFF-AR-10002656,Sanford Liquid Accent Highlighters,Office Supplies,Art,29.9264,1,NorthStar
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,576.6552,3,NorthStar
TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones,129.9783333,5,NorthStar
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,Paper,71.62742857,4,NorthStar
OFF-PA-10001144,Xerox 1913,Office Supplies,Paper,173.0976,1,NorthStar
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,220.4862,1,Prime Goods
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,498.256,3,Prime Goods
OFF-LA-10003148,Avery 51,Office Supplies,Labels,19.152,5,Global Supply Co
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,434.2142857,4,Global Supply Co
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,228.7685,2,Prime Goods
OFF-SU-10002189,Acme Rosewood Handle Letter Opener,Office Supplies,Supplies,14.55666667,1,Global Supply Co
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,Art,11.48,3,Prime Goods
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage,48.30257143,4,NorthStar
TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories,321.156,4,Global Supply Co
TEC-PH-10003273,AT&T TR1909W,Technology,Phones,434.6655,4,Global Supply Co
TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),Technology,Phones,103.1656,3,Prime Goods
TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,Technology,Accessories,45.91666667,1,Prime Goods
OFF-BI-10001890,Avery Poly Binder Pockets,Office Supplies,Binders,9.7555,4,Prime Goods
TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,80.36363636,5,Prime Goods
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage,57.387,4,Prime Goods
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,864.0135,2,NorthStar
TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,54.2984,5,Global Supply Co
OFF-PA-10000061,Xerox 205,Office Supplies,Paper,37.584,5,Global Supply Co
OFF-AR-10003514,4009 Highlighters by Sanford,Office Supplies,Art,21.3925,2,Global Supply Co
OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Art,12.69942857,1,Prime Goods
OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art,5.88,2,Prime Goods
OFF-ST-10001414,Decoflex Hanging Personal Folder File,Office Supplies,Storage,46.26,5,NorthStar
OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,8.551583333,2,Prime Goods
OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,Paper,24.084,2,Prime Goods
OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,Paper,41.676,2,Prime Goods
FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,568.75,3,NorthStar
OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,Appliances,17.55,2,NorthStar
OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,Office Supplies,Appliances,508.1773333,4,Prime Goods
FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,27.1296,4,NorthStar
TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,Technology,Phones,333.576,4,NorthStar
OFF-ST-10000642,"Tennsco Lockers, Gray",Office Supplies,Storage,67.136,1,Prime Goods
TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones,162.1468571,5,Prime Goods
OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",Office Supplies,Fasteners,27.888,4,NorthStar
OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage,229.975,5,NorthStar
TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Technology,Accessories,37.375,5,NorthStar
OFF-LA-10004544,Avery 505,Office Supplies,Labels,53.28,1,Prime Goods
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,698.0657143,2,Prime Goods
TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Technology,Machines,2134,4,Global Supply Co
TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,Accessories,165.4815556,3,Global Supply Co
TEC-PH-10002563,Adtran 1202752G1,Technology,Phones,398.1284,3,Prime Goods
OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,Office Supplies,Fasteners,11.517,3,Prime Goods
OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Office Supplies,Paper,12.5345,3,Global Supply Co
FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,Furnishings,51.49866667,2,NorthStar
TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,Technology,Machines,1040.8482,2,NorthStar
OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Office Supplies,Art,39.29657143,2,Global Supply Co
OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,Art,10.26666667,2,Prime Goods
FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Furniture,Tables,541.5315,4,Global Supply Co
OFF-ST-10002485,Rogers Deluxe File Chest,Office Supplies,Storage,55.4995,1,Global Supply Co
FUR-CH-10004860,Global Low Back Tilter Chair,Furniture,Chairs,218.36925,4,Prime Goods
FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,242.8834444,4,NorthStar
OFF-BI-10001679,GBC Instant Index System for Binding Systems,Office Supplies,Binders,14.3856,3,Global Supply Co
FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Furniture,Tables,850.4,5,Prime Goods
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,1082.940958,1,Prime Goods
FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings,180.6545714,2,Prime Goods
TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,Accessories,622.4308889,1,NorthStar
OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,17.424,4,Global Supply Co
OFF-PA-10003349,Xerox 1957,Office Supplies,Paper,15.984,3,Prime Goods
FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,772.2112,5,Global Supply Co
FUR-FU-10004351,Staples,Furniture,Furnishings,33.76533333,2,NorthStar
TEC-PH-10000011,PureGear Roll-On Screen Protector,Technology,Phones,114.3428,1,Global Supply Co
FUR-TA-10002607,KI Conference Tables,Furniture,Tables,267.60975,3,NorthStar
FUR-FU-10002505,Eldon 100 Class Desk Accessories,Furniture,Furnishings,9.099,2,Prime Goods
OFF-ST-10002276,Safco Steel Mobile File Cart,Office Supplies,Storage,136.7104,5,NorthStar
OFF-PA-10004082,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,31.92,2,NorthStar
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,1413.055,4,Global Supply Co
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,544.4730909,1,Global Supply Co
OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Office Supplies,Paper,18.264,1,NorthStar
OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",Office Supplies,Storage,51.36977778,4,Prime Goods
OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Envelopes,253.344,4,Global Supply Co
OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,Storage,140.0256,5,Prime Goods
TEC-PH-10001580,Logitech Mobile Speakerphone P710e - speaker phone,Technology,Phones,383.3432,2,Global Supply Co
TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,Technology,Accessories,24.1045,2,Prime Goods
OFF-ST-10002790,Safco Industrial Shelving,Office Supplies,Storage,165.424,2,Prime Goods
OFF-BI-10003460,Acco 3-Hole Punch,Office Supplies,Binders,15.28133333,2,NorthStar
OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,Appliances,1.624,2,Prime Goods
TEC-MA-10003353,Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,Machines,2519.958,1,Prime Goods
